"id","driver_number","driver_name","driver_abb","driver_total_seasons","driver_season_rank","driver_season_points","driver_season_gps","driver_season_wins","driver_season_podiums","driver_season_poles","driver_season_fastlaps","driver_season_leadlaps","driver_career_wins_avg","driver_career_podiums_avg","driver_career_poles","driver_career_fastlaps","driver_career_gps","driver_career_season","team_name","team_season_wins","team_season_podiums","team_season_poles","team_season_fastlaps","team_season_leadlaps","team_season_points","team_average_wins","team_average_podiums","team_total_gps","team_seasons","circuit_country","circuit_name","circuit_length","circuit_temp","circuit_rain","quali_pos","quali_time","race_pos"
1029,11,"S PEREZ","PER",13,2,219,15,2,8,2,2,138,0.02,0.14,3,11,249,13,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Turkey","Istanbul Park",0,15.8255,0.0,7,83.706,3
1030,16,"C LECLERC","LEC",6,6,111,15,0,3,2,0,12,0.04,0.23,20,7,117,6,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Turkey","Istanbul Park",0,15.8255,0.0,4,83.265,4
1031,44,"L HAMILTON","HAM",17,4,164,15,0,4,1,2,7,0.32,0.6,104,63,324,17,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Turkey","Istanbul Park",0,15.8255,0.0,1,82.868,5
1032,10,"P GASLY","GAS",7,10,37,15,0,1,0,0,0,0.01,0.03,0,3,122,7,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Turkey","Istanbul Park",0,15.8255,0.0,5,83.326,6
1033,4,"L NORRIS","NOR",5,8,79,15,0,2,0,0,5,0.0,0.08,1,5,96,5,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Turkey","Istanbul Park",0,15.8255,0.0,8,83.954,7
1034,55,"C SAINZ","SAI",9,5,117,15,0,1,1,0,14,0.01,0.09,4,3,177,9,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Turkey","Istanbul Park",0,15.8255,0.0,15,85.177,8
1035,18,"L STROLL","STR",7,9,47,15,0,0,0,0,0,0.0,0.02,1,0,136,7,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Turkey","Istanbul Park",0,15.8255,0.0,9,84.305,9
1036,31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Turkey","Istanbul Park",0,15.8255,0.0,12,84.842,10
1037,99,"A GIOVINAZZI","GIO",4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,62,4,"Alfa Romeo Racing",0,0,0,0,0,0,0.0,0.0,0,0,"Turkey","Istanbul Park",0,15.8255,0.0,18,86.43,11
1038,7,"K RAIKKONEN","RAI",19,0,0,0,0,0,0,0,0,0.06,0.3,18,46,349,19,"Alfa Romeo Racing",0,0,0,0,0,0,0.0,0.0,0,0,"Turkey","Istanbul Park",0,15.8255,0.0,19,87.525,12
1039,3,"D RICCIARDO","RIC",13,22,0,2,0,0,0,0,0,0.03,0.14,3,16,234,13,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Turkey","Istanbul Park",0,15.8255,0.0,16,85.881,13
1040,22,"Y TSUNODA","TSU",3,17,3,15,0,0,0,0,0,0.0,0.0,0,0,56,3,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Turkey","Istanbul Park",0,15.8255,0.0,10,84.368,14
1041,63,"G RUSSELL","RUS",5,7,109,15,0,1,0,1,6,0.01,0.1,1,6,96,5,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Turkey","Istanbul Park",0,15.8255,0.0,13,85.007,15
1042,14,"F ALONSO","ALO",20,3,170,15,0,7,0,1,3,0.09,0.28,22,24,369,20,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Turkey","Istanbul Park",0,15.8255,0.0,6,83.477,16
1043,6,"N LATIFI","LAT",3,0,0,0,0,0,0,0,0,0.0,0.0,0,0,61,3,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Turkey","Istanbul Park",0,15.8255,0.0,17,86.086,17
1044,5,"S VETTEL","VET",16,0,0,0,0,0,0,0,0,0.18,0.41,57,38,299,16,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Turkey","Istanbul Park",0,15.8255,0.0,11,84.795,18
1045,47,"M SCHUMACHER","MSC",2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,43,2,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Turkey","Istanbul Park",0,15.8255,0.0,14,85.2,19
1046,9,"N MAZEPIN","MAZ",1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,21,1,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Turkey","Istanbul Park",0,15.8255,0.0,20,88.449,20
1047,77,"V BOTTAS","BOT",11,15,6,15,0,0,0,0,0,0.05,0.31,20,19,214,11,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Turkey","Istanbul Park",0,15.8255,0.0,2,82.998,1
1048,33,"M VERSTAPPEN","VER",9,1,364,15,12,14,8,6,661,0.27,0.51,28,27,177,9,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Turkey","Istanbul Park",0,15.8255,0.0,3,83.196,2
1049,11,"S PEREZ","PER",13,2,219,15,2,8,2,2,138,0.02,0.14,3,11,249,13,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Turkey","Istanbul Park",0,15.8255,0.0,7,83.706,3
