"driver_name";"driver_abb";"driver_rank";"driver_points";"driver_victories";"driver_podiums";"driver_poles";"team_name";"team_rank";"team_points";"team_victories";"car_chasis";"circuit_name";"circuit_country";"circuit_temp";"circuit_humi";"circuit_rain";"quali_pos";"quali_laptime";"race_num_pits";"race_tyres_strat";"race_pos_change";"race_pos";"race_time";"race_laptime";"driver_num"
"M VERSTAPPEN";"VER";1;364;12;14;8;"Red Bull Racing";1;583;14;"RB19";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;1;89.708;2;"S, S, H";0;1;5636.74;96.236;1
"S PEREZ";"PER";2;219;2;8;2;"Red Bull Racing";1;583;14;"RB19";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;2;89.846;2;"S, S, H";0;2;5648.72;96.344;11
"F ALONSO";"ALO";3;170;0;7;0;"Aston Martin";4;217;0;"AMR23";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;5;90.336;2;"S, H, H";2;3;5675.37;96.156;14
"C SAINZ";"SAI";5;117;0;1;1;"Ferrari";3;228;0;"SF-23";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;4;90.154;2;"S, H, H";0;4;5684.79;97.13;55
"L HAMILTON";"HAM";4;164;0;4;1;"Mercedes";2;273;0;"W14";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;7;90.384;2;"S, H, H";2;5;5687.71;96.546;44
"L STROLL";"STR";9;47;0;0;0;"Aston Martin";4;217;0;"AMR23";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;8;90.836;2;"S, H, H";2;6;5691.24;96.546;18
"G RUSSELL";"RUS";7;109;0;1;0;"Mercedes";2;273;0;"W14";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;6;90.34;2;"S, H, H";-1;7;5692.61;97.035;63
"V BOTTAS";"BOT";15;6;0;0;0;"Alfa Romeo";9;10;0;"C43";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;12;91.443;2;"S, H, H";4;8;5709.38;97.379;77
"P GASLY";"GAS";10;37;0;1;0;"Alpine";6;73;0;"A523";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;20;92.181;3;"S, H, H, S";11;9;5710.49;95.068;10
"A ALBON";"ALB";13;21;0;0;0;"Williams";7;21;0;"FW45";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;15;91.461;3;"S, S, H, S";5;10;5726.51;97.144;23
"Y TSUNODA";"TSU";17;3;0;0;0;"AlphaTauri";10;3;0;"AT04";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;14;92.51;3;"S, H, H, S";3;11;5727.61;96.637;22
"L SARGEANT";"SAR";19;0;0;0;0;"Williams";7;21;0;"FW45";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;16;91.652;3;"S, S, H, S";4;12;0.0;96.037;2
"K MAGNUSSEN";"MAG";18;2;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;17;91.892;3;"H, H, S, S";4;13;0.0;96.471;20
"N DE VRIES";"DEV";21;0;0;0;0;"AlphaTauri";10;3;0;"AT04";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;19;92.121;98;"S, H, H";5;14;0.0;97.709;21
"N HULKENBERG";"HUL";14;9;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;10;90.809;3;"S, H, H, S";-5;15;0.0;96.616;27
"G ZHOU";"ZHO";16;4;0;0;0;"Alfa Romeo";9;10;0;"C43";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;13;91.473;3;"S, H, S, S";-3;16;0.0;93.996;24
"L NORRIS";"NOR";8;79;0;2;0;"McLaren";5;115;0;"MCL60";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;11;91.381;6;"S, H, S, M, H, S, S";-6;17;0.0;95.257;4
"E OCON";"OCO";11;36;0;1;0;"Alpine";6;73;0;"A523";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;9;90.984;3;"S, H, H, H";-9;18;0.0;96.797;31
"C LECLERC";"LEC";6;111;0;3;2;"Ferrari";3;228;0;"SF-23";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;3;90.0;2;"S, H, H";-16;19;0.0;97.17;16
"O PIASTRI";"PIA";12;36;0;0;0;"McLaren";5;115;0;"MCL60";"Bahrain International Circuit";"Bahrain";27.4317;21.4969;0.0;18;92.101;0;"S";-2;20;0.0;100.691;81
"S PEREZ";"PER";2;219;2;8;2;"Red Bull Racing";1;583;14;"RB19";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;1;88.265;1;"M, H";0;1;4874.89;92.188;11
"M VERSTAPPEN";"VER";1;364;12;14;8;"Red Bull Racing";1;583;14;"RB19";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;15;109.953;1;"M, H";13;2;4880.25;91.906;1
"F ALONSO";"ALO";3;170;0;7;0;"Aston Martin";4;217;0;"AMR23";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;3;88.73;1;"M, H";-1;3;4895.62;92.24;14
"G RUSSELL";"RUS";7;109;0;1;0;"Mercedes";2;273;0;"W14";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;4;88.857;1;"M, H";-1;4;4900.76;92.433;63
"L HAMILTON";"HAM";4;164;0;4;1;"Mercedes";2;273;0;"W14";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;8;89.223;1;"H, M";2;5;4905.96;92.941;44
"C SAINZ";"SAI";5;117;0;1;1;"Ferrari";3;228;0;"SF-23";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;5;88.931;1;"M, H";-2;6;4910.77;92.822;55
"C LECLERC";"LEC";6;111;0;3;2;"Ferrari";3;228;0;"SF-23";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;2;88.42;1;"S, H";5;7;4918.06;93.056;16
"E OCON";"OCO";11;36;0;1;0;"Alpine";6;73;0;"A523";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;7;89.078;1;"M, H";-2;8;4927.73;93.222;31
"P GASLY";"GAS";10;37;0;1;0;"Alpine";6;73;0;"A523";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;10;89.357;1;"M, H";0;9;4929.64;93.392;10
"K MAGNUSSEN";"MAG";18;2;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;13;89.634;1;"M, H";3;10;4939.72;93.374;20
"Y TSUNODA";"TSU";17;3;0;0;0;"AlphaTauri";10;3;0;"AT04";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;16;89.939;1;"M, H";5;11;4942.39;93.931;22
"N HULKENBERG";"HUL";14;9;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;11;89.451;1;"M, H";-2;12;4945.48;93.78;27
"G ZHOU";"ZHO";16;4;0;0;0;"Alfa Romeo";9;10;0;"C43";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;12;89.461;2;"M, H, M";-2;13;4950.95;93.894;24
"N DE VRIES";"DEV";21;0;0;0;0;"AlphaTauri";10;3;0;"AT04";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;18;90.244;1;"M, H";4;14;4952.37;93.609;21
"O PIASTRI";"PIA";12;36;0;0;0;"McLaren";5;115;0;"MCL60";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;9;89.243;1;"M, H";-7;15;4959.92;94.287;81
"L SARGEANT";"SAR";19;0;0;0;0;"Williams";7;21;0;"FW45";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;20;128.51;1;"H, M";4;16;4961.19;94.469;2
"L NORRIS";"NOR";8;79;0;2;0;"McLaren";5;115;0;"MCL60";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;19;90.447;2;"S, H, M";2;17;4961.34;94.122;4
"V BOTTAS";"BOT";15;6;0;0;0;"Alfa Romeo";9;10;0;"C43";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;14;89.668;3;"M, H, M, S";-4;18;0.0;94.384;77
"A ALBON";"ALB";13;21;0;0;0;"Williams";7;21;0;"FW45";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;17;89.994;1;"M, H";-2;19;0.0;95.567;23
"L STROLL";"STR";9;47;0;0;0;"Aston Martin";4;217;0;"AMR23";"Jeddah Corniche Circuit";"Saudi Arabia";26.0919;57.7905;0.0;6;88.945;1;"M, H";-15;20;0.0;95.14;18
"M VERSTAPPEN";"VER";1;364;12;14;8;"Red Bull Racing";1;583;14;"RB19";"Albert Park Circuit";"Australia";17.4495;54.1577;0.0;1;76.732;3;"M, H, S, S";0;1;9158.37;80.342;1
"L HAMILTON";"HAM";4;164;0;4;1;"Mercedes";2;273;0;"W14";"Albert Park Circuit";"Australia";17.4495;54.1577;0.0;3;77.104;3;"M, H, S, S";1;2;9158.55;80.613;44
"F ALONSO";"ALO";3;170;0;7;0;"Aston Martin";4;217;0;"AMR23";"Albert Park Circuit";"Australia";17.4495;54.1577;0.0;4;77.139;3;"M, H, S, S";1;3;9159.14;80.476;14
"L STROLL";"STR";9;47;0;0;0;"Aston Martin";4;217;0;"AMR23";"Albert Park Circuit";"Australia";17.4495;54.1577;0.0;6;77.308;3;"M, H, S, S";2;4;9161.45;80.934;18
"S PEREZ";"PER";2;219;2;8;2;"Red Bull Racing";1;583;14;"RB19";"Albert Park Circuit";"Australia";17.4495;54.1577;0.0;20;0.0;5;"H, M, H, H, S, S";-5;5;9161.69;80.235;11
"L NORRIS";"NOR";8;79;0;2;0;"McLaren";5;115;0;"MCL60";"Albert Park Circuit";"Australia";17.4495;54.1577;0.0;13;78.119;3;"M, H, S, S";7;6;9162.07;81.173;4
"N HULKENBERG";"HUL";14;9;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Albert Park Circuit";"Australia";17.4495;54.1577;0.0;10;77.735;3;"M, H, S, S";3;7;9163.31;81.124;27
"O PIASTRI";"PIA";12;36;0;0;0;"McLaren";5;115;0;"MCL60";"Albert Park Circuit";"Australia";17.4495;54.1577;0.0;16;78.517;4;"M, H, S, S, S";8;8;9163.75;81.335;81
